leftEye,rightEye
[-0.06563216],0
[-0.06563216],0
[-0.06563216],0
[0.18814552],0
[0.18814552],0
[0.18814552],0
[0.18814552],0
[0.18814552],0
[0.17064361],0
[0.17064361],0
[0.17064361],0
[0.17064361],0
[0.23190029],0
[0.0393793],0
[0.0393793],0
[0.0393793],0
[0.18814552],0
[0.18814552],0
[0.18814552],0
[0.18814552],0
[0.58193847 0.46817606],0
[0.58193847 0.46817606],0
[0.58193847 0.46817606],0
[0.58193847 0.46817606],0
[0.58193847 0.46817606],0
[0.22314934],0
[0.22314934],0
[0.22314934],0
[0.22314934],0
[0.78321042],0
[0.33691175],0
[0.33691175],0
[0.33691175],0
[0.14439075],0
[0.14439075],0
[0.14439075],0
[0.14439075],0
[0.14439075],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.45942511 0.31940984],0
[0.45942511 0.31940984],0
[0.45942511 0.31940984],0
[0.45942511 0.31940984],0
[0.46817606],0
[0.28440602],0
[0.28440602],0
[0.28440602],0
[-0.03062834],0
[-0.03062834],0
[-0.03062834],0
[-0.03062834],0
[-0.03062834],0
[0.38066652],0
[0.38066652],0
[0.38066652],0
[0.38066652],0
[-0.07438311],0
[-0.07438311],0
[-0.07438311],0
[-0.07438311],0
[0.79196138],0
[-0.09188502],0
[-0.09188502],0
[-0.09188502],0
[-0.09188502],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[0.03062834],0
[0.03062834],0
[0.03062834],0
[0.03062834],0
[0.14439075],0
[0.14439075],0
[0.14439075],0
[0.14439075],0
[0.13563979],0
[0.13563979],0
[0.13563979],0
[0.13563979],0
[0.13563979],0
[0.78321042],0
[0.78321042],0
[0.17939457],0
[0.78321042],0
[0.72195374],0
[0.72195374],0
[0.72195374],0
[0.72195374],0
[0.35441366],0
[0.35441366],0
[0.35441366],0
[0.35441366],0
[0.35441366],0
[0.52068179],0
[0.1531417],0
[0.1531417],0
[0.1531417],0
[0.25815316],0
[0.25815316],0
[0.25815316],0
[0.25815316],0
[0.5381837],0
[0.5381837],0
[0.5381837],0
[0.5381837],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.00437548],0
[0.00437548],0
[0.00437548],0
[0.00437548],0
[0.62569324],0
[0.62569324],0
[0.62569324],0
[0.62569324],0
[-0.0568812],0
[0.16189266],0
[0.16189266],0
[0.16189266],0
[0.1531417],0
[0.02187739],0
[0.02187739],0
[0.02187739],0
[0.02187739],0
[0.16189266],0
[0.16189266],0
[0.16189266],0
[0.16189266],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[0.49442893],0
[0.49442893],0
[0.49442893],0
[0.49442893],0
[0.49442893],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
[0.78321042],0
[0.78321042],0
[0.78321042],0
[0.78321042],0
[0.78321042],0
[-0.07438311],0
[-0.07438311],0
[-0.07438311],0
[-0.07438311],0
[0.10938693],0
[0.10938693],0
[0.10938693],0
[0.10938693],0
[0.77445947],0
[0.77445947],0
[0.77445947],0
[0.77445947],0
[0.78321042],0
[0.78321042],0
[0.78321042],0
[0.78321042],0
[0.78321042],0
[0.16189266],0
[0.77445947],0
[0.77445947],0
[0.77445947],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[0.09188502 0.38066652],0
[0.09188502 0.38066652],0
[0.09188502 0.38066652],0
[0.09188502 0.38066652],0
[0.09188502 0.38066652],0
[0.78321042],0
[0.78321042],0
[0.40691938],0
[0.40691938],0
[0.0568812],0
[0.31065888 0.45942511],0
[0.31065888 0.45942511],0
[0.31065888 0.45942511],0
[0.79196138],0
[0.42442129],0
[0.42442129],0
[0.42442129],0
[0.10063598],0
[0.10063598],0
[0.10063598],0
[0.10063598],0
[0.10063598],0
[0.4419232],0
[0.4419232],0
[0.4419232],0
[0.4419232],0
[0.78321042],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[-0.09188502],0
[-0.09188502],0
[-0.09188502],0
[-0.09188502],0
[-0.09188502],0
[0.13563979],0
[0.13563979],0
[0.13563979],0
[0.13563979],0
[0.48567797],0
[0.18814552],0
[0.18814552],0
[0.18814552],0
[0.4419232],0
[0.4419232],0
[0.4419232],0
[0.4419232],0
[0.31065888],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.03062834],0
[0.17939457],0
[0.17939457],0
[0.17939457],0
[0.41567034],0
[0.41567034],0
[0.41567034],0
[0.41567034],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[0.67819897],0
[0.67819897],0
[-0.07438311],0
[-0.07438311],0
[-0.07438311],0
[-0.07438311],0
[0.2494022  0.49442893],0
[0.2494022  0.49442893],0
[0.2494022  0.49442893],0
[0.2494022  0.49442893],0
[0.31940984],0
[0.31940984],0
[0.31940984],0
[0.31940984],0
[0.31940984],0
[0.61694229],0
[0.61694229],0
[0.61694229],0
[0.61694229],0
[-1.22075815],0
[-1.22075815],0
[-1.22075815],0
[-1.22075815],0
[0.94072761],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[0.66944802],0
[0.66944802],0
[0.66944802],0
[0.66944802],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
[0.11813789],0
[0.11813789],0
[0.11813789],0
[0.11813789],0
[0.11813789],0
[0.09188502],0
[0.09188502],0
[0.09188502],0
[0.09188502],0
[0.16189266],0
[0.16189266],0
[0.16189266],0
[0.16189266],0
[0.06563216],0
[0.06563216],0
[0.06563216],0
[0.06563216],0
[0.06563216],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.46817606],0
[0.46817606],0
[0.46817606],0
[0.46817606],0
[0.00437548],0
[0.00437548],0
[0.00437548],0
[0.00437548],0
[-0.02187739],0
[-0.02187739],0
[-0.02187739],0
[-0.02187739],0
[-0.02187739],0
[-0.25815316],0
[-0.25815316],0
[-0.25815316],0
[-0.25815316],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[-0.04813025],0
[0.16189266],0
[0.16189266],0
[0.16189266],0
[0.16189266],0
[0.3456627],0
[-0.10063598],0
[-0.10063598],0
[-0.10063598],0
[-0.10063598],0
[0.17939457],0
[0.17939457],0
[0.17939457],0
[0.17939457],0
[0.52943275],0
[0.12688884],0
[0.12688884],0
[0.12688884],0
[0.79196138],0
[0.87947092],0
[0.87947092],0
[0.87947092],0
[0.87947092],0
[0.12688884],0
[0.5381837],0
[0.5381837],0
[0.5381837],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[0.47692702],0
[0.06563216],0
[0.06563216],0
[0.06563216],0
[0.79196138],0
[0.79196138],0
[0.79196138],0
[0.79196138],0
[0.79196138],0
[0.75695756],0
[0.77445947],0
[0.77445947],0
[0.77445947],0
[0.78321042],0
[0.78321042],0
[0.78321042],0
[0.78321042],0
[0.2494022],0
[0.04813025],0
[0.04813025],0
[0.2494022],0
[0.04813025],0
[-0.2494022],0
[-0.2494022],0
[-0.2494022],0
[-0.2494022],0
[0.16189266 0.38941747],0
[0.16189266 0.40691938],0
[0.16189266 0.40691938],0
[0.16189266 0.40691938],0
[0.17064361 0.42442129],0
[0.17064361 0.42442129],0
[0.17064361 0.42442129],0
[0.17064361 0.42442129],0
[0.38066652],0
[0.38066652],0
[0.38066652],0
[0.38066652],0
[0.38066652],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[0.41567034 0.26690411],0
[0.41567034 0.26690411],0
[0.41567034 0.26690411],0
[0.41567034 0.26690411],0
[0.41567034 0.26690411],0
[0.42442129],0
[0.42442129],0
[0.42442129],0
[0.42442129],0
[0.14439075],0
[0.14439075],0
[0.14439075],0
[0.14439075],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.45942511],0
[0.35441366],0
[0.33691175],0
[0.33691175],0
[0.33691175],0
[0.33691175],0
[0.09188502],0
[0.09188502],0
[0.09188502],0
[0.09188502],0
[0.11813789],0
[0.40691938 0.2494022 ],0
[0.40691938 0.2494022 ],0
[0.40691938 0.2494022 ],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[0.4419232  0.25815316],0
[0.25815316],0
[0.25815316],0
[0.25815316],0
[1.34327151],0
[1.34327151],0
[1.34327151],0
[1.34327151],0
[0.61694229],0
[0.61694229],0
[0.61694229],0
[0.61694229],0
[-0.10938693],0
[0.55568561],0
[0.55568561],0
[0.55568561],0
[0.55568561],0
[0.67819897],0
[0.2494022],0
[0.67819897],0
[0.67819897],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[0.47692702],0
[0.47692702],0
[0.47692702],0
[0.47692702],0
[0.06563216],0
[0.06563216],0
[0.06563216],0
[0.06563216],0
[0.49442893],0
[0.51193084],0
[0.51193084],0
[0.51193084],0
[0.10063598],0
[0.10063598],0
[0.10063598],0
[0.10063598],0
[0.10063598],0
[0.22314934 0.45067416],0
[0.22314934 0.45067416],0
[0.22314934 0.45067416],0
[0.22314934 0.45067416],0
[0.38066652],0
[0.38066652],0
[0.79196138],0
[0.79196138],0
[0.40691938],0
[0.38941747],0
[0.38941747],0
[0.38941747],0
[0.38941747],0
[0.79196138],0
[0.79196138],0
[0.79196138],0
[0.79196138],0
[-0.23190029],0
[-0.23190029],0
[-0.23190029],0
[-0.23190029],0
[-0.03062834],0
[-0.03062834],0
[-0.03062834],0
[-0.03062834],0
[0.46817606],0
[0.46817606],0
[0.46817606],0
[0.46817606],0
[0.46817606],0
[0.47692702],0
[0.47692702],0
[0.47692702],0
[0.47692702],0
[0.46817606],0
[0.46817606],0
[0.46817606],0
[0.46817606],0
[0.38941747],0
[0.38941747],0
[0.38941747],0
[0.38941747],0
[0.38941747],0
[0.09188502],0
[0.09188502],0
[0.09188502],0
[0.09188502],0
[0.32816079],0
[0.32816079],0
[0.32816079],0
[0.32816079],0
[0.10938693],0
[0.10938693],0
[0.10938693],0
[0.10938693],0
[-0.09188502],0
[-0.09188502],0
[-0.09188502],0
[-0.09188502],0
[-0.09188502],0
[0.22314934],0
[0.22314934],0
[0.22314934],0
[0.22314934],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[-0.10938693],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[0.59068943],0
[0.35441366],0
[0.35441366],0
[0.35441366],0
[0.35441366],0
[0.04813025],0
[0.04813025],0
[0.04813025],0
[0.04813025],0
[-0.0568812],0
[-0.0568812],0
[-0.0568812],0
